"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Comoros","COM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","62519.7","58782.8","75376.2","119514.7","156640.9","525249.4","529168.1","922917.3","183904.2","248305.5","403882.5","796487.9","878681.9","1506411.5","2791052.9","2181886.5","2172357.6","1629669.7","1034050.7","1528968.2","1109305","8137842.3","5680751.9","2170882","2792628.2","964758.5","1428353.2","2730256","2388187.6","3613839","3256025","2843689.6","4720269.9","3054724.7","3307048.1","4032130.1","3756429","26173456.5","12367449.3","11866146.8","4298754.2","3941055.9","12343028.2","589435.3","782360.6","7473546.7","6421827.5","4053480.3","6148966.5","6123525.3","6385720.3","5185268.9","",
"Cabo Verde","CPV","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","306715.9","1456523.5","2954345.3","5241449.1","5140433.2","4906991.1","8274717.4","8240349.2","6586974.7","5741384.1","7955477.4","10629069.4","6665806.9","9373993","9757449.6","8024308.2","14679032.2","19654039.7","20356517.2","16162046.4","13707328.9","22909060.9","19044407.8","24048984.7","35719852.6","31581965.9","29489808","31356045.1","32919060.9","35017486.8","37796716.4","35646171.7","38948224.1","43380197.2","41864989.5","43713464.2","50702791.6","55983963.9","61448163.6","59166252","53863924.2","",
"Costa Rica","CRI","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","62089445.7","61905752","71791969.3","85126341.9","113899010.6","148362365.6","177913562","220705550.8","422081382","400953414.2","370453393","344499569.9","261943173.9","721524127.7","439823975.4","549263611.9","525574753.6","347555318.1","420754283.8","356093426.7","513566556","428226226.9","554137144.8","560949751.8","518398597.5","660333385.5","607016558","576248704.7","555035531.1","562124939.4","651595641.9","696960852.1","673941500.2","826329131.7","907362417.8","837445030.2","784472075.1","900540421.6","1571897129.9","1253791111.5","997423117","1624092068.3","2287684885.4","3287564284.2","3464423496.1","2767216331.8","2829487077.5","2958619532.6","3415638965.9","3144962495.9","3000404115.5","3069623245","",
"Caribbean small states","CSS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
